time;WT4A_WT_controlMeasurements_PGenNomPu;WT4A_WT_controlMeasurements_QGenNomPu;WT4A_WT_controlMeasurements_UPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.001000;1.000161;-0.210037;1.000164;0.976169;0.217767;-0.930282;-0.422695;
0.001000;1.000161;-0.210037;1.000164;0.976169;0.217767;-0.930282;-0.422695;
0.025999;1.000072;-0.210092;1.000152;0.976161;0.217745;-0.930202;-0.422716;
0.075997;1.000017;-0.210102;1.000152;0.976164;0.217732;-0.930153;-0.422701;
0.175993;1.000003;-0.210094;1.000155;0.976169;0.217728;-0.930139;-0.422685;
0.375985;1.000001;-0.210077;1.000161;0.976174;0.217727;-0.930137;-0.422663;
0.775969;1.000000;-0.210050;1.000169;0.976183;0.217726;-0.930136;-0.422630;
1.575937;1.000000;-0.210022;1.000178;0.976193;0.217725;-0.930135;-0.422596;
2.000000;1.000000;-0.210017;1.000179;0.976194;0.217725;-0.930135;-0.422591;
2.000000;1.000000;-0.210017;1.000179;0.976194;0.217725;-0.930135;-0.422591;
2.000370;0.999998;-0.210018;1.000179;0.976194;0.217724;-0.930132;-0.422590;
2.001111;0.999965;-0.210025;1.000179;0.976195;0.217716;-0.930103;-0.422583;
2.002592;0.999694;-0.210082;1.000177;0.976209;0.217648;-0.929857;-0.422515;
2.004074;0.999147;-0.210191;1.000175;0.976238;0.217510;-0.929361;-0.422373;
2.007037;0.996739;-0.210570;1.000198;0.976396;0.216902;-0.927173;-0.421627;
2.010001;0.992986;-0.211049;1.000266;0.976677;0.215949;-0.923759;-0.420338;
2.012964;0.987964;-0.211567;1.000395;0.977090;0.214671;-0.919187;-0.418477;
2.015927;0.981805;-0.212074;1.000589;0.977633;0.213100;-0.913576;-0.416064;
2.018890;0.974665;-0.212539;1.000847;0.978293;0.211275;-0.907066;-0.413148;
2.021854;0.966701;-0.212946;1.001164;0.979056;0.209237;-0.899801;-0.409801;
2.027780;0.948588;-0.213575;1.001956;0.980845;0.204593;-0.883264;-0.401984;
2.033706;0.929171;-0.214060;1.002827;0.982760;0.199611;-0.865524;-0.393614;
2.039633;0.909129;-0.214467;1.003718;0.984699;0.194468;-0.847200;-0.385113;
2.051486;0.869684;-0.215178;1.005391;0.988345;0.184352;-0.811111;-0.369008;
2.063339;0.832441;-0.215791;1.006859;0.991568;0.174808;-0.777005;-0.354607;
2.087045;0.769778;-0.216718;1.009086;0.996518;0.158767;-0.719555;-0.332116;
2.108380;0.722554;-0.217326;1.010572;0.999869;0.146692;-0.676206;-0.316561;
2.129715;0.683418;-0.217752;1.011687;1.002410;0.136693;-0.640247;-0.304536;
2.151051;0.651115;-0.218042;1.012533;1.004353;0.128445;-0.610544;-0.295178;
2.172386;0.624495;-0.218229;1.013183;1.005853;0.121651;-0.586049;-0.287838;
2.193722;0.602569;-0.218339;1.013690;1.007024;0.116057;-0.565863;-0.282030;
2.215057;0.584510;-0.218390;1.014090;1.007947;0.111450;-0.549229;-0.277397;
2.236392;0.569635;-0.218396;1.014412;1.008683;0.107656;-0.535523;-0.273672;
2.257728;0.557383;-0.218366;1.014674;1.009275;0.104531;-0.524229;-0.270654;
2.279063;0.547289;-0.218309;1.014891;1.009757;0.101956;-0.514921;-0.268192;
2.321734;0.533145;-0.218119;1.015213;1.010439;0.098345;-0.501873;-0.264713;
2.364404;0.523236;-0.217877;1.015462;1.010931;0.095813;-0.492726;-0.262220;
2.407075;0.516311;-0.217202;1.015779;1.011416;0.094028;-0.486315;-0.259962;
2.449746;0.511424;-0.216962;1.015931;1.011684;0.092776;-0.481799;-0.258639;
2.535087;0.506168;-0.216579;1.016126;1.012005;0.091426;-0.476937;-0.257097;
2.620428;0.503339;-0.215972;1.016347;1.012293;0.090687;-0.474307;-0.255840;
2.791111;0.501245;-0.214808;1.016716;1.012714;0.090119;-0.472337;-0.254143;
2.961794;0.500472;-0.213599;1.017076;1.013096;0.089885;-0.471584;-0.252678;
3.303159;0.500113;-0.212405;1.017425;1.013458;0.089757;-0.471213;-0.251317;
3.985890;0.500018;-0.211079;1.017807;1.013848;0.089693;-0.471083;-0.249872;
5.351352;0.500002;-0.210297;1.018032;1.014076;0.089665;-0.471043;-0.249028;
5.999999;0.500002;-0.210185;1.018064;1.014108;0.089661;-0.471039;-0.248908;
5.999999;0.368202;-0.135454;0.736407;0.729844;0.098101;-0.471039;-0.248908;
6.000075;0.368139;-0.135563;0.736368;0.729807;0.098084;-0.470962;-0.249048;
6.000229;0.368047;-0.135711;0.736316;0.729757;0.098060;-0.470851;-0.249237;
6.000382;0.367989;-0.135791;0.736287;0.729730;0.098044;-0.470781;-0.249336;
6.000689;0.368002;-0.135699;0.736322;0.729765;0.098044;-0.470794;-0.249200;
6.000797;0.368050;-0.135582;0.736364;0.729806;0.098056;-0.470851;-0.249042;
6.000797;0.368050;-0.135582;0.736364;0.729806;0.098056;-0.470851;-0.249042;
6.000798;0.368050;-0.135582;0.736364;0.729806;0.098056;-0.470851;-0.249040;
6.000798;0.368050;-0.135582;0.736364;0.729806;0.098056;-0.470851;-0.249040;
6.000798;0.368050;-0.135582;0.736364;0.729806;0.098056;-0.470851;-0.249040;
6.000798;0.368050;-0.135582;0.736364;0.729806;0.098056;-0.470851;-0.249040;
6.001029;0.368113;-0.135323;0.736460;0.729901;0.098067;-0.470923;-0.248671;
6.001492;0.368318;-0.134350;0.736819;0.730260;0.098097;-0.471150;-0.247266;
6.001954;0.368596;-0.132965;0.737330;0.730770;0.098137;-0.471457;-0.245265;
6.002880;0.369406;-0.128872;0.738837;0.732275;0.098249;-0.472347;-0.239364;
6.003067;0.369614;-0.127836;0.739217;0.732655;0.098279;-0.472576;-0.237875;
6.003067;0.369611;-0.127836;0.739217;0.732655;0.098278;-0.472573;-0.237874;
6.003447;0.370005;-0.125874;0.739937;0.733373;0.098334;-0.473007;-0.235060;
