time;sm_generator_cePu;sm_generator_PePu;sm_generator_cmPu;sm_generator_PmPu;sm_generator_ufPu;sm_generator_efdPu;sm_generator_omegaPu;sm_generator_theta;sm_generator_PGenPu;sm_generator_QGenPu;sm_generator_PGen;sm_generator_QGen;sm_generator_UPu;sm_generator_IStatorPu;sm_generator_IRotorPu;sm_generator_UStatorPu;sm_generator_QStatorPu;sm_generator_thetaInternal;sm_governor_PmRefPu;line1_line_P1Pu;line1_line_P2Pu;line1_line_Q1Pu;line1_line_Q2Pu;line2_line_P1Pu;line2_line_P2Pu;line2_line_Q1Pu;line2_line_Q2Pu;tfo_transformer_terminal1_V_re;tfo_transformer_terminal1_V_im;tfo_transformer_terminal2_V_re;tfo_transformer_terminal2_V_im;tfo_transformer_terminal1_i_re;tfo_transformer_terminal1_i_im;tfo_transformer_terminal2_i_re;tfo_transformer_terminal2_i_im;
0.000000;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892532;967.862400;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;-12.993187;12.993187;0.563465;4.131020;-6.985738;6.985738;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178845;-0.961812;22.178845;0.961812;
0.000001;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892532;967.862401;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;-12.993187;12.993187;0.563465;4.131020;-6.985738;6.985738;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178845;-0.961812;22.178845;0.961812;
0.000002;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892533;967.862401;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;-12.993187;12.993187;0.563465;4.131020;-6.985738;6.985738;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178845;-0.961812;22.178845;0.961812;
0.000004;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892534;967.862402;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;-12.993187;12.993187;0.563465;4.131020;-6.985738;6.985738;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178845;-0.961812;22.178845;0.961812;
0.000008;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892535;967.862403;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;-12.993187;12.993187;0.563465;4.131020;-6.985738;6.985738;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178845;-0.961812;22.178845;0.961812;
0.000016;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892539;967.862406;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;-12.993187;12.993187;0.563465;4.131020;-6.985738;6.985738;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178845;-0.961812;22.178845;0.961812;
0.000032;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892546;967.862411;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;-12.993187;12.993187;0.563465;4.131020;-6.985738;6.985738;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178845;-0.961812;22.178845;0.961812;
0.000064;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978926;9.678624;1997.892560;967.862421;1.000007;22.199691;2.557993;1.000007;9.678624;0.690749;0.903000;-12.993187;12.993187;0.563465;4.131020;-6.985738;6.985738;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178845;-0.961812;22.178845;0.961812;
0.000128;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978926;9.678624;1997.892587;967.862442;1.000007;22.199691;2.557993;1.000007;9.678624;0.690749;0.903000;-12.993188;12.993188;0.563465;4.131020;-6.985738;6.985738;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178846;-0.961812;22.178846;0.961812;
0.000256;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978926;9.678625;1997.892643;967.862484;1.000007;22.199691;2.557993;1.000007;9.678625;0.690749;0.903000;-12.993188;12.993188;0.563465;4.131020;-6.985738;6.985738;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178846;-0.961812;22.178846;0.961812;
0.000512;0.902952;0.902952;0.903000;0.903000;0.001119;2.557895;1.000000;1.185212;19.978928;9.678626;1997.892753;967.862568;1.000007;22.199693;2.557992;1.000007;9.678626;0.690749;0.903000;-12.993189;12.993189;0.563465;4.131020;-6.985739;6.985739;0.302945;2.221027;0.886722;0.324855;0.880230;0.474562;-22.178847;-0.961813;22.178847;0.961813;
0.001024;0.902952;0.902952;0.903000;0.903000;0.001119;2.557895;1.000000;1.185212;19.978930;9.678627;1997.892971;967.862732;1.000007;22.199695;2.557992;1.000007;9.678627;0.690749;0.903000;-12.993190;12.993190;0.563466;4.131021;-6.985740;6.985740;0.302945;2.221028;0.886722;0.324855;0.880230;0.474562;-22.178850;-0.961814;22.178850;0.961814;
0.002048;0.902952;0.902952;0.903000;0.903000;0.001119;2.557895;1.000000;1.185212;19.978934;9.678630;1997.893401;967.863050;1.000007;22.199700;2.557991;1.000007;9.678630;0.690749;0.903000;-12.993193;12.993193;0.563467;4.131022;-6.985741;6.985741;0.302946;2.221028;0.886722;0.324855;0.880230;0.474562;-22.178855;-0.961815;22.178855;0.961815;
