time;WPP4A_WPP_wPPControl_measurements_PPu;WPP4A_WPP_wPPControl_measurements_QPu;WPP4A_WPP_wPPControl_measurements_UPu;WPP4A_WPP_terminal_V_re;WPP4A_WPP_terminal_V_im;WPP4A_WPP_terminal_i_re;WPP4A_WPP_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000003;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000006;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000009;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000012;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000019;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000025;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000029;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000032;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000039;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000052;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000079;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000133;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000241;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000456;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000887;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422694;
0.001000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001005;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001010;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001019;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001039;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001077;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001154;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001308;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001616;1.000162;-0.210035;1.000164;0.976169;0.217767;-0.930283;-0.422693;
0.002231;1.000161;-0.210035;1.000164;0.976169;0.217767;-0.930282;-0.422692;
0.002846;1.000159;-0.210035;1.000164;0.976170;0.217766;-0.930280;-0.422692;
0.004077;1.000154;-0.210036;1.000165;0.976170;0.217765;-0.930275;-0.422690;
0.005308;1.000148;-0.210036;1.000165;0.976171;0.217763;-0.930270;-0.422687;
0.006538;1.000141;-0.210036;1.000165;0.976171;0.217762;-0.930264;-0.422684;
0.007769;1.000134;-0.210036;1.000166;0.976172;0.217760;-0.930258;-0.422680;
0.009000;1.000127;-0.210036;1.000166;0.976173;0.217758;-0.930251;-0.422676;
0.010231;1.000120;-0.210035;1.000167;0.976174;0.217756;-0.930244;-0.422672;
0.011461;1.000113;-0.210035;1.000167;0.976175;0.217754;-0.930238;-0.422668;
