time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_QGenPu;SynchronousGenerator_generator_omegaPu;SynchronousGenerator_pss_UpssPu;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000000;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000001;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000001;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000001;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000001;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000001;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000002;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000002;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000002;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000002;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000002;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000003;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000003;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000003;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000003;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000003;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000004;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000004;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000004;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000004;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000004;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000005;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000005;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000005;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000005;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000005;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000006;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000006;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000006;0.991871;2.507892;4.751011;1.561898;1.000000;-0.000000;
0.000006;0.991871;2.507893;4.751011;1.561898;1.000000;-0.000000;
0.000006;0.991871;2.507893;4.751011;1.561898;1.000000;-0.000000;
0.000007;0.991871;2.507893;4.751011;1.561898;1.000000;-0.000000;
0.000007;0.991871;2.507893;4.751011;1.561898;1.000000;-0.000000;
0.000007;0.991871;2.507893;4.751011;1.561898;1.000000;-0.000000;
0.000007;0.991871;2.507893;4.751011;1.561898;1.000000;-0.000000;
0.000007;0.991871;2.507893;4.751011;1.561898;1.000000;-0.000000;
0.000008;0.991871;2.507893;4.751011;1.561898;1.000000;-0.000000;
0.000008;0.991871;2.507893;4.751010;1.561898;1.000000;-0.000000;
0.000008;0.991871;2.507893;4.751010;1.561898;1.000000;-0.000000;
0.000008;0.991871;2.507893;4.751010;1.561898;1.000000;-0.000000;
0.000009;0.991871;2.507893;4.751010;1.561898;1.000000;-0.000000;
0.000009;0.991871;2.507893;4.751010;1.561898;1.000000;-0.000000;
0.000009;0.991871;2.507893;4.751010;1.561898;1.000000;-0.000000;
0.000009;0.991871;2.507893;4.751010;1.561898;1.000000;-0.000000;
0.000009;0.991871;2.507893;4.751010;1.561898;1.000000;-0.000000;
0.000010;0.991871;2.507893;4.751010;1.561898;1.000000;-0.000000;
0.000010;0.991871;2.507893;4.751010;1.561898;1.000000;-0.000000;
