time;WPP4A_WPP_wPPControl2015_qControl_PWPPu;WPP4A_WPP_wPPControl2015_qControl_QWPPu;WPP4A_WPP_wPPControl2015_qControl_UWPPu;WPP4A_WPP_terminal_V_re;WPP4A_WPP_terminal_V_im;WPP4A_WPP_terminal_i_re;WPP4A_WPP_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000001;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000001;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000003;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000005;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000010;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000020;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000041;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000081;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000162;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000325;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000649;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000974;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001001;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001002;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001004;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001007;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001014;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001028;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001055;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001110;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001220;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001439;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930283;-0.422693;
0.001878;1.000162;-0.210035;1.000164;0.976169;0.217767;-0.930283;-0.422693;
0.002317;1.000160;-0.210035;1.000164;0.976169;0.217766;-0.930281;-0.422692;
0.003194;1.000157;-0.210036;1.000165;0.976170;0.217766;-0.930279;-0.422691;
0.003984;1.000154;-0.210036;1.000165;0.976170;0.217765;-0.930276;-0.422690;
0.004774;1.000150;-0.210036;1.000165;0.976170;0.217764;-0.930272;-0.422688;
0.005564;1.000146;-0.210036;1.000165;0.976171;0.217763;-0.930268;-0.422686;
0.006354;1.000142;-0.210036;1.000165;0.976171;0.217762;-0.930264;-0.422684;
0.007144;1.000137;-0.210036;1.000165;0.976172;0.217761;-0.930260;-0.422682;
0.007934;1.000132;-0.210037;1.000166;0.976172;0.217759;-0.930256;-0.422680;
0.008724;1.000127;-0.210037;1.000166;0.976173;0.217758;-0.930251;-0.422677;
0.009514;1.000122;-0.210037;1.000166;0.976173;0.217757;-0.930246;-0.422675;
0.011094;1.000112;-0.210037;1.000167;0.976175;0.217754;-0.930237;-0.422670;
0.012515;1.000102;-0.210037;1.000167;0.976176;0.217752;-0.930228;-0.422665;
0.013937;1.000093;-0.210037;1.000168;0.976177;0.217749;-0.930220;-0.422660;
0.015359;1.000084;-0.210037;1.000169;0.976178;0.217747;-0.930211;-0.422656;
0.016781;1.000075;-0.210037;1.000169;0.976179;0.217744;-0.930203;-0.422651;
0.018203;1.000066;-0.210037;1.000170;0.976180;0.217742;-0.930195;-0.422647;
0.019625;1.000057;-0.210037;1.000170;0.976181;0.217740;-0.930187;-0.422642;
0.021046;1.000049;-0.210037;1.000170;0.976182;0.217738;-0.930180;-0.422638;
0.022468;1.000041;-0.210037;1.000171;0.976183;0.217736;-0.930173;-0.422635;
0.023890;1.000034;-0.210037;1.000171;0.976184;0.217734;-0.930166;-0.422631;
0.025312;1.000027;-0.210037;1.000172;0.976184;0.217732;-0.930159;-0.422628;
0.028156;1.000014;-0.210038;1.000172;0.976186;0.217729;-0.930148;-0.422623;
0.030999;1.000003;-0.210039;1.000172;0.976187;0.217726;-0.930137;-0.422618;
0.033843;0.999993;-0.210040;1.000173;0.976187;0.217723;-0.930129;-0.422615;
0.036687;0.999985;-0.210042;1.000173;0.976188;0.217721;-0.930121;-0.422613;
