time;SVarC_SVarC_injector_UPu;SVarC_SVarC_injector_BPu;SVarC_SVarC_injector_GPu;SVarC_SVarC_injector_PInjPu;SVarC_SVarC_injector_QInjPu;SVarC_SVarC_regulation_limitations_BVarMaxPu;SVarC_SVarC_regulation_limitations_BVarMinPu;
0.000000;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000000;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000000;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000000;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000000;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000001;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000002;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000004;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000008;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000016;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000032;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000064;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000128;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000256;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.000512;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.001024;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.002048;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.004096;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.008192;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.016384;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.032768;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.065536;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.131072;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.262144;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
0.524288;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
1.000000;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
1.000000;0.595806;0.702972;0.000000;-0.000001;0.623852;1.067800;-1.046600;
1.000001;0.595808;0.703086;0.000000;0.000000;0.623966;1.067800;-1.046600;
1.000002;0.595809;0.703200;0.000000;0.000000;0.624070;1.067800;-1.046600;
1.000004;0.595812;0.703427;0.000000;-0.000000;0.624278;1.067800;-1.046600;
1.000008;0.595819;0.703882;0.000000;0.000000;0.624695;1.067800;-1.046600;
1.000016;0.595831;0.704791;0.000000;0.000000;0.625529;1.067800;-1.046600;
1.000032;0.595857;0.706610;0.000000;0.000000;0.627196;1.067800;-1.046600;
1.000064;0.595907;0.710247;0.000000;0.000000;0.630531;1.067800;-1.046600;
1.000128;0.596008;0.717519;0.000000;0.000000;0.637204;1.067800;-1.046600;
1.000256;0.596211;0.732057;0.000000;-0.000000;0.650555;1.067800;-1.046600;
1.000512;0.596615;0.761104;0.000000;0.000000;0.677286;1.067800;-1.046600;
1.001024;0.597421;0.819086;0.000000;-0.000000;0.730854;1.067800;-1.046600;
