time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____1_SM_generator_UStatorPu;GEN____6_SM_generator_UStatorPu;GEN____2_SM_generator_UStatorPu;GEN____3_SM_generator_UStatorPu;GEN____8_SM_generator_UStatorPu;GEN____1_SM_voltageRegulator_EfdPu;GEN____2_SM_voltageRegulator_EfdPu;GEN____3_SM_voltageRegulator_EfdPu;GEN____6_SM_voltageRegulator_EfdPu;GEN____8_SM_voltageRegulator_EfdPu;_LOAD___2_EC_load_PPu;_LOAD___2_EC_load_QPu;NETWORK__BUS____1-BUS____5-1_AC_iSide2;NETWORK__BUS____1-BUS____5-1_AC_state;NETWORK__BUS____2-BUS____5-1_AC_iSide2;NETWORK__BUS____2-BUS____5-1_AC_state;NETWORK__BUS____2-BUS____4-1_AC_iSide2;NETWORK__BUS____2-BUS____4-1_AC_state;CLA_2_4_currentLimitAutomaton_order;CLA_2_5_currentLimitAutomaton_order;CLA_2_4_currentLimitAutomaton_IMax;CLA_2_5_currentLimitAutomaton_IMax;
0.000000;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378766;0.003431;40.081551;-0.077573;-0.005655;-16.575221;43.549501;25.078190;12.805777;17.570613;1.058872;1.070151;1.048745;1.011503;1.096373;1.112742;1.149209;1.053809;1.184579;1.194243;0.216983;0.126984;597.353221;2.000000;333.817897;2.000000;448.506590;2.000000;2.000000;2.000000;1000.000000;600.000000;
0.000001;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378765;0.003431;40.081551;-0.077573;-0.005655;-16.575222;43.549501;25.078190;12.805778;17.570612;1.058872;1.070151;1.048745;1.011503;1.096373;1.112742;1.149209;1.053809;1.184579;1.194243;0.216983;0.126984;597.353221;2.000000;333.817896;2.000000;448.506589;2.000000;2.000000;2.000000;1000.000000;600.000000;
0.000002;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378766;0.003431;40.081551;-0.077573;-0.005655;-16.575222;43.549501;25.078190;12.805778;17.570612;1.058872;1.070151;1.048745;1.011503;1.096373;1.112742;1.149209;1.053809;1.184579;1.194243;0.216983;0.126984;597.353221;2.000000;333.817896;2.000000;448.506589;2.000000;2.000000;2.000000;1000.000000;600.000000;
0.000004;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378766;0.003431;40.081550;-0.077573;-0.005655;-16.575222;43.549501;25.078190;12.805778;17.570612;1.058872;1.070151;1.048745;1.011503;1.096373;1.112742;1.149209;1.053809;1.184579;1.194243;0.216983;0.126984;597.353221;2.000000;333.817896;2.000000;448.506589;2.000000;2.000000;2.000000;1000.000000;600.000000;
0.000008;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378766;0.003430;40.081549;-0.077572;-0.005655;-16.575222;43.549502;25.078190;12.805776;17.570613;1.058872;1.070151;1.048745;1.011503;1.096373;1.112742;1.149209;1.053809;1.184579;1.194243;0.216983;0.126984;597.353221;2.000000;333.817895;2.000000;448.506588;2.000000;2.000000;2.000000;1000.000000;600.000000;
0.000016;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378767;0.003430;40.081547;-0.077571;-0.005655;-16.575221;43.549504;25.078190;12.805773;17.570613;1.058872;1.070151;1.048745;1.011503;1.096373;1.112742;1.149209;1.053809;1.184579;1.194243;0.216983;0.126984;597.353221;2.000000;333.817894;2.000000;448.506585;2.000000;2.000000;2.000000;1000.000000;600.000000;
0.000032;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378769;0.003429;40.081542;-0.077569;-0.005655;-16.575221;43.549507;25.078190;12.805768;17.570614;1.058872;1.070151;1.048745;1.011503;1.096373;1.112742;1.149209;1.053809;1.184579;1.194243;0.216983;0.126984;597.353222;2.000000;333.817891;2.000000;448.506581;2.000000;2.000000;2.000000;1000.000000;600.000000;
0.000064;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378773;0.003426;40.081534;-0.077564;-0.005654;-16.575219;43.549513;25.078190;12.805757;17.570616;1.058872;1.070151;1.048745;1.011503;1.096373;1.112742;1.149209;1.053809;1.184579;1.194243;0.216983;0.126984;597.353222;2.000000;333.817885;2.000000;448.506572;2.000000;2.000000;2.000000;1000.000000;600.000000;
0.000128;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055334;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378780;0.003421;40.081516;-0.077554;-0.005654;-16.575216;43.549526;25.078191;12.805735;17.570620;1.058872;1.070151;1.048745;1.011503;1.096373;1.112742;1.149209;1.053809;1.184580;1.194244;0.216983;0.126984;597.353223;2.000000;333.817873;2.000000;448.506555;2.000000;2.000000;2.000000;1000.000000;600.000000;
0.000256;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055334;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378794;0.003412;40.081481;-0.077535;-0.005652;-16.575211;43.549551;25.078192;12.805692;17.570627;1.058872;1.070151;1.048745;1.011503;1.096373;1.112742;1.149209;1.053809;1.184582;1.194244;0.216983;0.126984;597.353226;2.000000;333.817850;2.000000;448.506521;2.000000;2.000000;2.000000;1000.000000;600.000000;
