time;NETWORK__BEAV___6_TN_Upu_value;NETWORK__CLIN___8_TN_Upu_value;NETWORK__GLEN__12_TN_Upu_value;NETWORK__KANA___1_TN_Upu_value;NETWORK__LOGA___3_TN_Upu_value;NETWORK__SALT___9_TN_Upu_value;NETWORK__TURN___2_TN_Upu_value;GEN____6_SM_generator_PGen;GEN____9_SM_generator_PGen;GEN____1_SM_generator_PGen;GEN___12_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____6_SM_generator_QGen;GEN____9_SM_generator_QGen;GEN____1_SM_generator_QGen;GEN___12_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____6_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN____1_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____6_SM_generator_efdPu_value;GEN____9_SM_generator_efdPu_value;GEN____1_SM_generator_efdPu_value;GEN___12_SM_generator_efdPu_value;GEN____3_SM_generator_efdPu_value;GEN____8_SM_generator_efdPu_value;GEN____2_SM_generator_efdPu_value;
0.000000;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086908;0.139567;478.690050;310.017994;39.924989;449.870251;-0.045845;0.899682;2.299217;128.851028;128.745433;-1.002401;62.009333;-0.721901;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423927;1.175824;1.648005;1.064105;
0.000001;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086906;0.139563;478.690048;310.017991;39.924987;449.870249;-0.045846;0.899683;2.299221;128.851030;128.745436;-1.002399;62.009335;-0.721900;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423927;1.175824;1.648005;1.064105;
0.000002;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086906;0.139563;478.690048;310.017991;39.924987;449.870250;-0.045846;0.899683;2.299221;128.851030;128.745436;-1.002399;62.009335;-0.721900;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423927;1.175824;1.648005;1.064105;
0.000004;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086905;0.139561;478.690047;310.017989;39.924986;449.870250;-0.045846;0.899683;2.299223;128.851031;128.745437;-1.002398;62.009336;-0.721900;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423927;1.175824;1.648005;1.064105;
0.000008;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086905;0.139560;478.690047;310.017991;39.924988;449.870252;-0.045845;0.899682;2.299222;128.851030;128.745435;-1.002398;62.009337;-0.721901;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423927;1.175824;1.648004;1.064105;
0.000016;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086902;0.139557;478.690046;310.017990;39.924990;449.870256;-0.045844;0.899682;2.299222;128.851031;128.745433;-1.002397;62.009338;-0.721902;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423927;1.175824;1.648004;1.064105;
0.000032;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086898;0.139551;478.690044;310.017990;39.924993;449.870264;-0.045842;0.899681;2.299222;128.851031;128.745429;-1.002394;62.009342;-0.721903;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423927;1.175824;1.648004;1.064105;
0.000064;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086889;0.139538;478.690040;310.017988;39.924999;449.870279;-0.045837;0.899679;2.299222;128.851032;128.745422;-1.002388;62.009349;-0.721906;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423927;1.175824;1.648004;1.064105;
0.000128;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086871;0.139513;478.690031;310.017986;39.925012;449.870309;-0.045828;0.899674;2.299223;128.851035;128.745408;-1.002378;62.009363;-0.721911;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423927;1.175824;1.648004;1.064105;
0.000256;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086835;0.139462;478.690014;310.017981;39.925038;449.870369;-0.045811;0.899666;2.299224;128.851040;128.745380;-1.002356;62.009391;-0.721921;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423928;1.175824;1.648004;1.064105;
