time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____1_SM_generator_UStatorPu;GEN____1_SM_voltageRegulator_EfdPu;GEN____2_SM_generator_omegaPu;GEN____2_SM_generator_PGen;GEN____2_SM_generator_QGen;GEN____2_SM_generator_UStatorPu;GEN____2_SM_voltageRegulator_EfdPu;GEN____3_SM_generator_omegaPu;GEN____3_SM_generator_PGen;GEN____3_SM_generator_QGen;GEN____3_SM_generator_UStatorPu;GEN____3_SM_voltageRegulator_EfdPu;GEN____6_SM_generator_omegaPu;GEN____6_SM_generator_PGen;GEN____6_SM_generator_QGen;GEN____6_SM_generator_UStatorPu;GEN____6_SM_voltageRegulator_EfdPu;GEN____8_SM_generator_omegaPu;GEN____8_SM_generator_PGen;GEN____8_SM_generator_QGen;GEN____8_SM_generator_UStatorPu;GEN____8_SM_voltageRegulator_EfdPu;_LOAD___2_EC_load_PPu;_LOAD___2_EC_load_QPu;line1_5_line_P1Pu;line1_5_line_Q1Pu;line1_5_line_P2Pu;line1_5_line_Q2Pu;
0.000000;1.059970;1.045041;1.010001;1.017704;1.019554;1.070149;1.061530;1.089926;1.055982;1.051052;1.057014;1.055333;1.050525;1.035657;1.000000;232.331303;-16.690461;1.058824;1.436654;1.000000;40.125730;43.675173;1.048778;1.269362;1.000000;-0.075479;25.065849;1.011505;1.112250;1.000000;0.005180;12.802633;1.070149;1.461740;1.000000;-0.006641;17.569807;1.096374;1.194228;0.216990;0.126990;0.755083;0.038242;-0.727459;0.022585;
0.000001;1.059970;1.045041;1.010001;1.017704;1.019554;1.070149;1.061530;1.089926;1.055982;1.051052;1.057014;1.055333;1.050525;1.035657;1.000000;232.331303;-16.690461;1.058824;1.436654;1.000000;40.125729;43.675174;1.048778;1.269362;1.000000;-0.075479;25.065849;1.011505;1.112250;1.000000;0.005180;12.802634;1.070149;1.461740;1.000000;-0.006641;17.569808;1.096374;1.194228;0.216990;0.126990;0.755083;0.038242;-0.727459;0.022585;
0.000002;1.059970;1.045041;1.010001;1.017704;1.019554;1.070149;1.061530;1.089926;1.055982;1.051052;1.057014;1.055333;1.050525;1.035657;1.000000;232.331303;-16.690461;1.058824;1.436654;1.000000;40.125728;43.675173;1.048778;1.269362;1.000000;-0.075479;25.065849;1.011505;1.112250;1.000000;0.005180;12.802633;1.070149;1.461740;1.000000;-0.006641;17.569808;1.096374;1.194228;0.216990;0.126990;0.755083;0.038242;-0.727459;0.022585;
0.000004;1.059970;1.045041;1.010001;1.017704;1.019554;1.070149;1.061530;1.089926;1.055982;1.051052;1.057014;1.055333;1.050525;1.035657;1.000000;232.331304;-16.690460;1.058824;1.436654;1.000000;40.125727;43.675173;1.048778;1.269362;1.000000;-0.075478;25.065849;1.011505;1.112250;1.000000;0.005179;12.802633;1.070149;1.461740;1.000000;-0.006642;17.569808;1.096374;1.194228;0.216990;0.126990;0.755083;0.038242;-0.727459;0.022585;
0.000008;1.059970;1.045041;1.010001;1.017704;1.019554;1.070149;1.061530;1.089926;1.055982;1.051052;1.057014;1.055333;1.050525;1.035657;1.000000;232.331305;-16.690458;1.058824;1.436654;1.000000;40.125725;43.675172;1.048778;1.269362;1.000000;-0.075477;25.065849;1.011505;1.112250;1.000000;0.005179;12.802632;1.070149;1.461740;1.000000;-0.006641;17.569808;1.096374;1.194228;0.216990;0.126990;0.755083;0.038242;-0.727459;0.022585;
0.000016;1.059970;1.045041;1.010001;1.017704;1.019554;1.070149;1.061530;1.089926;1.055982;1.051052;1.057014;1.055333;1.050525;1.035657;1.000000;232.331308;-16.690455;1.058824;1.436654;1.000000;40.125721;43.675169;1.048778;1.269362;1.000000;-0.075476;25.065850;1.011505;1.112250;1.000000;0.005178;12.802630;1.070149;1.461740;1.000000;-0.006641;17.569808;1.096374;1.194228;0.216990;0.126990;0.755083;0.038242;-0.727459;0.022585;
0.000032;1.059970;1.045041;1.010001;1.017704;1.019554;1.070149;1.061530;1.089926;1.055982;1.051052;1.057014;1.055333;1.050525;1.035657;1.000000;232.331314;-16.690447;1.058824;1.436654;1.000000;40.125713;43.675165;1.048778;1.269362;1.000000;-0.075473;25.065850;1.011505;1.112250;1.000000;0.005177;12.802626;1.070149;1.461740;1.000000;-0.006641;17.569809;1.096374;1.194228;0.216990;0.126990;0.755083;0.038242;-0.727459;0.022585;
0.000064;1.059970;1.045041;1.010001;1.017704;1.019554;1.070149;1.061530;1.089926;1.055982;1.051052;1.057014;1.055333;1.050525;1.035657;1.000000;232.331325;-16.690433;1.058824;1.436654;1.000000;40.125697;43.675156;1.048778;1.269363;1.000000;-0.075468;25.065851;1.011505;1.112250;1.000000;0.005175;12.802619;1.070149;1.461741;1.000000;-0.006640;17.569810;1.096374;1.194228;0.216990;0.126990;0.755083;0.038242;-0.727459;0.022585;
0.000128;1.059970;1.045041;1.010001;1.017704;1.019554;1.070149;1.061530;1.089926;1.055982;1.051052;1.057014;1.055333;1.050525;1.035657;1.000000;232.331347;-16.690404;1.058824;1.436653;1.000000;40.125665;43.675137;1.048778;1.269363;1.000000;-0.075457;25.065852;1.011505;1.112250;1.000000;0.005170;12.802604;1.070149;1.461741;1.000000;-0.006639;17.569812;1.096374;1.194228;0.216990;0.126990;0.755083;0.038242;-0.727459;0.022585;
0.000256;1.059970;1.045041;1.010001;1.017704;1.019554;1.070149;1.061530;1.089926;1.055982;1.051052;1.057014;1.055333;1.050525;1.035657;1.000000;232.331392;-16.690347;1.058824;1.436653;1.000000;40.125601;43.675101;1.048778;1.269363;1.000000;-0.075435;25.065855;1.011505;1.112250;1.000000;0.005160;12.802575;1.070149;1.461742;1.000000;-0.006637;17.569817;1.096374;1.194229;0.216990;0.126990;0.755084;0.038243;-0.727459;0.022585;
