time;Generator_generator_UPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_PGenPu;Generator_generator_QGenPu;NETWORK_Load1_P;NETWORK_Load1_Q;NETWORK_Load2_P;NETWORK_Load2_Q;NETWORK_Load3_P;NETWORK_Load3_Q;NETWORK_Load4_P;NETWORK_Load4_Q;NETWORK_Transformer_i1_value;NETWORK_Transformer_i2_value;NETWORK_Transformer_P1_value;NETWORK_Transformer_P2_value;NETWORK_Transformer_Q1_value;NETWORK_Transformer_Q2_value;NETWORK_Transformer_iS1ToS2Side1_value;NETWORK_Transformer_iS2ToS1Side1_value;NETWORK_Transformer_iS1ToS2Side2_value;NETWORK_Transformer_iS2ToS1Side2_value;NETWORK_Transformer_iSide1_value;NETWORK_Transformer_iSide2_value;NETWORK_VL1_BUS1_U;NETWORK_VL1_BUS1_phi;NETWORK_VL2_BUS1_U;NETWORK_VL2_BUS1_phi;
0.0000000000;1.0007580520;9.0735977135;2.2728987058;0.0907359771;0.0227289871;0.0300772982;0.0100515985;0.0401030643;0.0050257993;0.0200151610;0.0050075834;0.0000000000;0.0000000000;0.0728445609;0.0728521263;-0.0701803626;0.0707208161;-0.0150773978;0.0177214037;-2102.8413426020;2102.8413426020;-4206.1194736909;4206.1194736909;2102.8413426020;-4206.1194736909;1.9708181490;-1.9657883889;1.0007580520;-0.0139287127;
0.5000000000;1.0007948259;9.0739315573;2.2730480425;0.0907393156;0.0227304804;0.0300784127;0.0100523435;0.0401045503;0.0050261717;0.0200158965;0.0050079514;0.0000000000;0.0000000000;0.0728446800;0.0728522456;-0.0701829631;0.0707234191;-0.0150785152;0.0177225290;-2102.8447803021;2102.8447803021;-4206.1263601364;4206.1263601364;2102.8447803021;4206.1263601364;1.9708911768;-2.6556563262;1.0007948259;-0.7038716334;
1.0000000000;1.0002899622;9.0693482681;2.2709982889;0.0906934827;0.0227099829;0.0300631119;0.0100421189;0.0400841492;0.0050210594;0.0200057992;0.0050029000;0.0000000000;0.0000000000;0.0728430454;0.0728506084;-0.0701472612;0.0706876834;-0.0150631784;0.0177070828;-2102.7975945437;2102.7975945437;-4206.0318369459;4206.0318369459;2102.7975945437;4206.0318369459;1.9698885896;-3.6977708509;1.0002899622;-1.7449562397;
1.5000000000;0.9999990853;9.0667076089;2.2698177846;0.0906670761;0.0226981778;0.0300542964;0.0100362303;0.0400723952;0.0050181152;0.0199999817;0.0049999909;0.0000000000;0.0000000000;0.0728421040;0.0728496655;-0.0701266915;0.0706670944;-0.0150543456;0.0176981870;-2102.7704182432;2102.7704182432;-4205.9773969259;4205.9773969259;2102.7704182432;4205.9773969259;1.9693109495;-5.0700109766;0.9999990853;-3.1166025057;
2.0000000000;0.9998738987;9.0655711312;2.2693098071;0.0906557113;0.0226930981;0.0300505024;0.0100336966;0.0400673365;0.0050168483;0.0199974780;0.0049987391;0.0000000000;0.0000000000;0.0728416989;0.0728492597;-0.0701178389;0.0706582333;-0.0150505447;0.0176943590;-2102.7587235210;2102.7587235210;-4205.9539698524;4205.9539698524;2102.7587235210;4205.9539698524;1.9690623468;-6.7403501671;0.9998738987;-4.7866860053;
2.5000000000;0.9998424648;9.0652857678;2.2691822257;0.0906528577;0.0226918223;0.0300495497;0.0100330604;0.0400660663;0.0050165302;0.0199968493;0.0049984248;0.0000000000;0.0000000000;0.0728415971;0.0728491578;-0.0701156160;0.0706560084;-0.0150495901;0.0176933976;-2102.7557854503;2102.7557854503;-4205.9480842646;4205.9480842646;2102.7557854503;4205.9480842646;1.9689999240;-8.6963770866;0.9998424648;-6.7426487098;
3.0000000000;0.9998561916;9.0654103863;2.2692378416;0.0906541039;0.0226923784;0.0300499657;0.0100333382;0.0400666210;0.0050166691;0.0199971238;0.0049985620;0.0000000000;0.0000000000;0.0728416414;0.0728492021;-0.0701165867;0.0706569800;-0.0150500063;0.0176938167;-2102.7570641820;2102.7570641820;-4205.9506458602;4205.9506458602;2102.7570641820;4205.9506458602;1.9690271840;-10.9355711578;0.9998561916;-8.9818708187;
3.5000000000;0.9998864713;9.0656852792;2.2693605764;0.0906568528;0.0226936058;0.0300508834;0.0100339511;0.0400678446;0.0050169755;0.0199977294;0.0049988648;0.0000000000;0.0000000000;0.0728417392;0.0728493001;-0.0701187280;0.0706591234;-0.0150509246;0.0176947416;-2102.7598872089;2102.7598872089;-4205.9563010255;4205.9563010255;2102.7598872089;4205.9563010255;1.9690873162;-13.4584646484;0.9998864713;-11.5048261569;
4.0000000000;0.9999183255;9.0659744682;2.2694896427;0.0906597447;0.0226948964;0.0300518489;0.0100345958;0.0400691318;0.0050172979;0.0199983665;0.0049991833;0.0000000000;0.0000000000;0.0728418420;0.0728494030;-0.0701209807;0.0706613782;-0.0150518902;0.0176957141;-2102.7628548109;2102.7628548109;-4205.9622458182;4205.9622458182;2102.7628548109;4205.9622458182;1.9691505755;-16.2652247290;0.9999183255;-14.3116512943;
4.5000000000;0.9999451847;9.0662183149;2.2695983633;0.0906621831;0.0226959836;0.0300526629;0.0100351394;0.0400702172;0.0050175697;0.0199989037;0.0049994519;0.0000000000;0.0000000000;0.0728419285;0.0728494897;-0.0701228802;0.0706632794;-0.0150527037;0.0176965333;-2102.7653524687;2102.7653524687;-4205.9672492267;4205.9672492267;2102.7653524687;4205.9672492267;1.9692039159;-19.3543291648;0.9999451847;-17.4008105765;
5.0000000000;0.9999651831;9.0663998838;2.2696791420;0.0906639988;0.0226967914;0.0300532690;0.0100355442;0.0400710254;0.0050177721;0.0199993037;0.0049996518;0.0000000000;0.0000000000;0.0728419927;0.0728495540;-0.0701242946;0.0706646951;-0.0150533080;0.0176971420;-2102.7672049099;2102.7672049099;-4205.9709601475;4205.9709601475;2102.7672049099;4205.9709601475;1.9692436329;-22.7223572631;0.9999651831;-20.7688795010;
