time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678811;0.892857;
0.009256;2.678818;4.309141;1.000000;4.000000;2.000029;0.781862;1.037829;2.678934;0.892857;
0.018512;2.678820;4.309142;1.000000;4.000002;2.000029;0.781862;1.037829;2.678916;0.892857;
0.037023;2.678822;4.309144;1.000000;4.000005;2.000029;0.781862;1.037829;2.678853;0.892857;
0.074047;2.678823;4.309145;1.000000;4.000006;2.000028;0.781862;1.037829;2.678831;0.892857;
0.148094;2.678824;4.309146;1.000000;4.000006;2.000029;0.781862;1.037829;2.678844;0.892857;
0.296188;2.678825;4.309145;1.000000;4.000003;2.000034;0.781861;1.037829;2.678855;0.892857;
0.592375;2.678829;4.309146;1.000000;4.000000;2.000047;0.781858;1.037829;2.678858;0.892857;
1.000000;2.678833;4.309150;1.000000;3.999999;2.000059;0.781857;1.037829;2.678857;0.892857;
1.000000;5.833702;22.210409;1.000000;0.000000;3.329790;0.781857;0.149920;0.749601;0.892857;
1.000000;5.833702;22.210408;1.000000;-0.000000;3.329790;0.781857;0.149920;0.749601;0.892857;
1.000000;5.833702;22.210406;1.000000;-0.000000;3.329789;0.781857;0.149920;0.749601;0.892857;
1.000000;5.833703;22.210403;1.000000;-0.000000;3.329789;0.781857;0.149920;0.749601;0.892857;
1.000000;5.833704;22.210397;1.000000;-0.000000;3.329787;0.781857;0.149920;0.749601;0.892857;
1.000000;5.833706;22.210385;1.000000;-0.000000;3.329783;0.781857;0.149920;0.749600;0.892857;
1.000000;5.833706;22.210383;1.000000;-0.000000;3.329783;0.781857;0.149920;0.749600;0.892857;
1.000000;5.833706;22.210383;1.000000;-0.000000;3.329783;0.781857;0.149920;0.749600;0.892857;
1.000000;5.833706;22.210383;1.000000;-0.000000;3.329783;0.781857;0.149920;0.749600;0.892857;
1.000000;5.833706;22.210383;1.000000;-0.000000;3.329783;0.781857;0.149920;0.749600;0.892857;
1.000000;5.833707;22.210382;1.000000;0.000000;3.329782;0.781857;0.149920;0.749600;0.892857;
1.000000;5.833707;22.210380;1.000000;0.000000;3.329782;0.781857;0.149920;0.749600;0.892857;
1.000000;5.833707;22.210377;1.000000;-0.000000;3.329781;0.781857;0.149920;0.749600;0.892857;
1.000000;5.833708;22.210371;1.000000;-0.000000;3.329779;0.781857;0.149920;0.749600;0.892857;
1.000000;5.833711;22.210358;1.000000;0.000000;3.329775;0.781857;0.149920;0.749600;0.892857;
1.000000;5.833714;22.210340;1.000000;0.000000;3.329770;0.781857;0.149920;0.749599;0.892857;
1.000000;5.833714;22.210340;1.000000;0.000000;3.329770;0.781857;0.149920;0.749599;0.892857;
1.000000;5.833714;22.210338;1.000000;-0.000000;3.329769;0.781857;0.149920;0.749599;0.892857;
1.000000;5.833714;22.210336;1.000000;-0.000000;3.329769;0.781857;0.149920;0.749599;0.892857;
1.000000;5.833715;22.210333;1.000000;0.000000;3.329768;0.781857;0.149920;0.749599;0.892857;
