time;B1-G1_generator_omegaPu;B1-G1_generator_PGen;B1-G1_generator_QGen;NETWORK_B1_U_value;B2-G1_generator_omegaPu;B2-G1_generator_PGen;B2-G1_generator_QGen;NETWORK_B2_U_value;B5-G1_generator_omegaPu;B5-G1_generator_PGen;B5-G1_generator_QGen;NETWORK_B5_U_value;
0.000000;1.000000;262.204315;-17.356143;139.927772;1.000000;41.675454;49.219985;137.720881;1.000000;0.604459;36.017975;133.340708;
0.000001;1.000000;262.204316;-17.356146;139.927772;1.000000;41.675458;49.219970;137.720881;1.000000;0.604463;36.017971;133.340708;
0.000002;1.000000;262.204315;-17.356145;139.927772;1.000000;41.675454;49.219972;137.720881;1.000000;0.604461;36.017972;133.340708;
0.000004;1.000000;262.204313;-17.356142;139.927772;1.000000;41.675446;49.219978;137.720881;1.000000;0.604458;36.017974;133.340708;
0.000008;1.000000;262.204308;-17.356137;139.927772;1.000000;41.675431;49.219987;137.720881;1.000000;0.604453;36.017977;133.340708;
0.000016;1.000000;262.204299;-17.356126;139.927772;1.000000;41.675400;49.220006;137.720881;1.000000;0.604442;36.017984;133.340708;
0.000032;1.000000;262.204280;-17.356105;139.927773;1.000000;41.675337;49.220045;137.720881;1.000000;0.604420;36.017998;133.340709;
0.000064;1.000000;262.204242;-17.356062;139.927774;1.000000;41.675211;49.220123;137.720882;1.000000;0.604375;36.018025;133.340710;
0.000128;1.000000;262.204166;-17.355978;139.927775;1.000000;41.674960;49.220277;137.720884;1.000000;0.604286;36.018080;133.340711;
0.000256;1.000000;262.204014;-17.355808;139.927778;1.000000;41.674456;49.220586;137.720886;1.000000;0.604106;36.018190;133.340715;
0.000512;1.000000;262.203709;-17.355471;139.927783;1.000000;41.673447;49.221200;137.720892;1.000000;0.603745;36.018409;133.340721;
0.000961;1.000000;262.203170;-17.354883;139.927793;1.000000;41.671667;49.222267;137.720902;1.000000;0.603105;36.018790;133.340733;
0.000961;1.000000;262.203170;-17.354883;139.927793;1.000000;41.671667;49.222267;137.720902;1.000000;0.603105;36.018790;133.340733;
0.000961;1.000000;262.203170;-17.354883;139.927793;1.000000;41.671667;49.222267;137.720902;1.000000;0.603105;36.018790;133.340733;
0.000967;1.000000;262.203163;-17.354875;139.927793;1.000000;41.671643;49.222281;137.720902;1.000000;0.603096;36.018795;133.340733;
0.000967;1.000000;262.203163;-17.354875;139.927793;1.000000;41.671643;49.222281;137.720902;1.000000;0.603096;36.018795;133.340733;
0.000968;1.000000;262.203161;-17.354874;139.927793;1.000000;41.671639;49.222284;137.720902;1.000000;0.603095;36.018796;133.340733;
0.000969;1.000000;262.203160;-17.354873;139.927793;1.000000;41.671635;49.222286;137.720902;1.000000;0.603093;36.018796;133.340733;
0.000971;1.000000;262.203158;-17.354870;139.927793;1.000000;41.671627;49.222291;137.720902;1.000000;0.603090;36.018798;133.340733;
0.000975;1.000000;262.203153;-17.354865;139.927793;1.000000;41.671611;49.222300;137.720902;1.000000;0.603085;36.018802;133.340733;
0.000983;1.000000;262.203143;-17.354854;139.927793;1.000000;41.671579;49.222319;137.720902;1.000000;0.603073;36.018808;133.340734;
0.000999;1.000000;262.203124;-17.354833;139.927794;1.000000;41.671515;49.222357;137.720903;1.000000;0.603050;36.018822;133.340734;
0.001031;1.000000;262.203085;-17.354792;139.927794;1.000000;41.671388;49.222432;137.720903;1.000000;0.603004;36.018849;133.340735;
0.001095;1.000000;262.203008;-17.354709;139.927796;1.000000;41.671133;49.222582;137.720905;1.000000;0.602912;36.018902;133.340737;
0.001223;1.000000;262.202853;-17.354542;139.927799;1.000000;41.670623;49.222883;137.720908;1.000000;0.602727;36.019010;133.340740;
0.001479;1.000000;262.202542;-17.354211;139.927804;1.000000;41.669600;49.223479;137.720913;1.000000;0.602354;36.019223;133.340746;
0.001991;1.000000;262.201914;-17.353553;139.927815;1.000000;41.667544;49.224659;137.720924;1.000000;0.601600;36.019646;133.340760;
0.003015;1.000000;262.200639;-17.352257;139.927837;1.000000;41.663389;49.226966;137.720946;1.000000;0.600056;36.020476;133.340785;
0.005063;1.000000;262.198007;-17.349737;139.927881;1.000000;41.654905;49.231370;137.720990;1.000000;0.596819;36.022071;133.340835;
0.009159;0.999999;262.192407;-17.344978;139.927967;0.999999;41.637241;49.239384;137.721076;0.999999;0.589755;36.025023;133.340930;
