time;SM_gen_cePu;SM_gen_PePu;SM_gen_cmPu;SM_gen_PmPu;SM_gen_ufPu;SM_gen_efdPu;SM_gen_omegaPu;SM_gen_theta;SM_gen_PGenPu;SM_gen_QGenPu;SM_gen_PGen;SM_gen_QGen;SM_gen_UPu;SM_gen_IStatorPu;SM_gen_IRotorPu;SM_gen_UStatorPu;SM_gen_QStatorPu;SM_gen_thetaInternal;
0.000000;0.902956;0.902956;0.903000;0.903000;0.001059;2.420740;1.000000;1.224004;19.979030;9.679010;1997.902983;967.900966;1.000014;22.199792;2.420683;1.000014;9.679010;0.729542;
0.000001;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.902973;967.900952;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
0.000002;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.902974;967.900952;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
0.000004;0.902956;0.902956;0.903000;0.903000;0.001059;2.420746;1.000000;1.224004;19.979030;9.679010;1997.902976;967.900955;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
0.000008;0.902956;0.902956;0.903000;0.903000;0.001059;2.420746;1.000000;1.224004;19.979030;9.679010;1997.902977;967.900957;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
0.000016;0.902956;0.902956;0.903000;0.903000;0.001059;2.420745;1.000000;1.224004;19.979030;9.679010;1997.902981;967.900963;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
0.000032;0.902956;0.902956;0.903000;0.903000;0.001059;2.420743;1.000000;1.224004;19.979030;9.679010;1997.902989;967.900975;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
0.000064;0.902956;0.902956;0.903000;0.903000;0.001059;2.420738;1.000000;1.224004;19.979030;9.679010;1997.903005;967.900999;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
0.000128;0.902956;0.902956;0.903000;0.903000;0.001059;2.420730;1.000000;1.224004;19.979030;9.679010;1997.903037;967.901047;1.000014;22.199793;2.420682;1.000014;9.679010;0.729542;
0.000256;0.902956;0.902956;0.903000;0.903000;0.001059;2.420713;1.000000;1.224004;19.979031;9.679011;1997.903101;967.901143;1.000014;22.199794;2.420682;1.000014;9.679011;0.729542;
0.000512;0.902956;0.902956;0.903000;0.903000;0.001059;2.420679;1.000000;1.224004;19.979032;9.679013;1997.903227;967.901331;1.000014;22.199795;2.420682;1.000014;9.679013;0.729542;
0.001024;0.902956;0.902956;0.903000;0.903000;0.001059;2.420614;1.000000;1.224004;19.979035;9.679017;1997.903472;967.901696;1.000014;22.199798;2.420681;1.000014;9.679017;0.729542;
0.002048;0.902957;0.902957;0.903000;0.903000;0.001059;2.420490;1.000000;1.224004;19.979039;9.679024;1997.903935;967.902384;1.000014;22.199803;2.420679;1.000014;9.679024;0.729542;
0.004096;0.902957;0.902957;0.903000;0.903000;0.001059;2.420269;1.000000;1.224004;19.979048;9.679036;1997.904760;967.903601;1.000015;22.199812;2.420676;1.000015;9.679036;0.729542;
0.008192;0.902958;0.902958;0.903000;0.903000;0.001059;2.419914;1.000000;1.224004;19.979061;9.679055;1997.906060;967.905469;1.000015;22.199826;2.420668;1.000015;9.679055;0.729542;
0.016384;0.902958;0.902958;0.903000;0.903000;0.001058;2.419467;1.000000;1.224004;19.979076;9.679074;1997.907605;967.907440;1.000015;22.199843;2.420655;1.000015;9.679074;0.729541;
0.032768;0.902959;0.902959;0.903000;0.903000;0.001058;2.419188;1.000000;1.224005;19.979085;9.679072;1997.908466;967.907162;1.000015;22.199853;2.420632;1.000015;9.679072;0.729542;
0.065536;0.902959;0.902959;0.903000;0.903000;0.001058;2.419568;1.000000;1.224008;19.979098;9.679019;1997.909782;967.901907;1.000014;22.199871;2.420609;1.000014;9.679019;0.729544;
0.131072;0.902971;0.902971;0.903000;0.903000;0.001059;2.420504;1.000001;1.224021;19.979360;9.679049;1997.936000;967.904878;1.000011;22.200174;2.420633;1.000011;9.679049;0.729549;
0.262144;0.902997;0.902998;0.903000;0.903000;0.001059;2.420595;1.000001;1.224051;19.979949;9.679172;1997.994898;967.917234;1.000007;22.200852;2.420679;1.000007;9.679172;0.729560;
0.524288;0.903011;0.903012;0.903000;0.903000;0.001059;2.420454;1.000000;1.224075;19.980248;9.679063;1998.024842;967.906319;1.000001;22.201206;2.420696;1.000001;9.679063;0.729573;
1.000000;0.903005;0.903005;0.903000;0.903000;0.001059;2.420583;1.000000;1.224076;19.980103;9.678909;1998.010294;967.890857;0.999999;22.201045;2.420685;0.999999;9.678909;0.729577;
1.000000;0.025330;0.025330;0.903000;0.903000;0.001059;2.420583;1.000000;1.224076;-0.000000;28.088040;-0.000000;2808.804016;0.435424;64.507295;3.718738;0.435424;28.088040;0.509457;
1.000001;0.025329;0.025329;0.903000;0.903000;0.001063;2.429222;1.000000;1.224076;0.000000;28.087625;0.000000;2808.762520;0.435421;64.506819;3.718767;0.435421;28.087625;0.509451;
1.000002;0.025329;0.025329;0.903000;0.903000;0.001066;2.437860;1.000000;1.224076;0.000000;28.087210;0.000000;2808.721029;0.435418;64.506342;3.718796;0.435418;28.087210;0.509445;
1.000004;0.025328;0.025328;0.903000;0.903000;0.001074;2.455136;1.000001;1.224076;-0.000000;28.086381;-0.000000;2808.638057;0.435411;64.505389;3.718853;0.435411;28.086381;0.509433;
1.000008;0.025327;0.025327;0.902999;0.903000;0.001089;2.489681;1.000001;1.224076;-0.000000;28.084722;-0.000000;2808.472165;0.435399;64.503484;3.718968;0.435399;28.084722;0.509409;
1.000016;0.025324;0.025324;0.902999;0.903000;0.001119;2.558750;1.000002;1.224076;-0.000000;28.081406;-0.000000;2808.140589;0.435373;64.499677;3.719198;0.435373;28.081406;0.509361;
1.000032;0.025318;0.025318;0.902997;0.903000;0.001180;2.696793;1.000004;1.224076;-0.000000;28.074783;-0.000000;2807.478275;0.435321;64.492070;3.719660;0.435321;28.074783;0.509265;
1.000064;0.025306;0.025306;0.902993;0.903000;0.001300;2.972508;1.000008;1.224076;-0.000000;28.061570;-0.000000;2806.157000;0.435219;64.476892;3.720588;0.435219;28.061570;0.509072;
1.000128;0.025282;0.025282;0.902986;0.903000;0.001541;3.522454;1.000016;1.224076;0.000000;28.035278;0.000000;2803.527849;0.435015;64.446680;3.722464;0.435015;28.035278;0.508685;
1.000256;0.025235;0.025235;0.902971;0.903000;0.002019;4.616433;1.000032;1.224077;0.000000;27.983229;0.000000;2798.322931;0.434611;64.386828;3.726290;0.434611;27.983229;0.507910;
1.000512;0.025142;0.025143;0.902942;0.903000;0.002966;6.780979;1.000064;1.224081;0.000000;27.881250;0.000000;2788.124976;0.433818;64.269398;3.734238;0.433818;27.881250;0.506349;
1.000538;0.025132;0.025134;0.902939;0.903000;0.003062;7.000001;1.000068;1.224082;0.000000;27.871006;0.000000;2787.100609;0.433739;64.257591;3.735070;0.433739;27.871006;0.506190;
1.000538;0.025132;0.025134;0.902939;0.903000;0.003062;7.000000;1.000068;1.224082;-0.000000;27.871006;-0.000000;2787.100650;0.433739;64.257591;3.735070;0.433739;27.871006;0.506190;
1.000539;0.025132;0.025134;0.902939;0.903000;0.003062;7.000000;1.000068;1.224082;-0.000000;27.870615;-0.000000;2787.061478;0.433736;64.257139;3.735102;0.433736;27.870615;0.506183;
1.000540;0.025132;0.025133;0.902939;0.903000;0.003062;7.000000;1.000068;1.224082;0.000000;27.870223;0.000000;2787.022309;0.433733;64.256688;3.735134;0.433733;27.870223;0.506177;
1.000542;0.025131;0.025133;0.902939;0.903000;0.003062;7.000000;1.000068;1.224082;0.000000;27.869440;0.000000;2786.943975;0.433727;64.255785;3.735198;0.433727;27.869440;0.506165;
1.000546;0.025130;0.025131;0.902939;0.903000;0.003062;7.000000;1.000069;1.224082;0.000000;27.867873;0.000000;2786.787327;0.433714;64.253979;3.735326;0.433714;27.867873;0.506141;
1.000554;0.025127;0.025128;0.902938;0.903000;0.003062;7.000000;1.000070;1.224082;0.000000;27.864741;0.000000;2786.474118;0.433690;64.250368;3.735582;0.433690;27.864741;0.506092;
1.000570;0.025121;0.025123;0.902936;0.903000;0.003062;7.000000;1.000072;1.224082;-0.000000;27.858480;-0.000000;2785.848045;0.433641;64.243150;3.736093;0.433641;27.858480;0.505994;
1.000602;0.025110;0.025112;0.902932;0.903000;0.003062;7.000000;1.000076;1.224083;-0.000000;27.845973;-0.000000;2784.597281;0.433544;64.228726;3.737114;0.433544;27.845973;0.505798;
