time;WPP4A_WPP_wPPControl_measurements_PGenNomPu;WPP4A_WPP_wPPControl_measurements_QGenNomPu;WPP4A_WPP_wPPControl_measurements_UPu;WPP4A_WPP_terminal_V_re;WPP4A_WPP_terminal_V_im;WPP4A_WPP_terminal_i_re;WPP4A_WPP_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000126;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000377;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000879;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;
0.000879;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;
0.000879;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;
0.001025;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;
0.001318;1.000162;-0.210037;1.000164;0.976169;0.217767;-0.930283;-0.422695;
0.001903;1.000160;-0.210039;1.000163;0.976168;0.217767;-0.930281;-0.422697;
0.003073;1.000154;-0.210044;1.000162;0.976167;0.217765;-0.930276;-0.422700;
0.004244;1.000148;-0.210050;1.000160;0.976166;0.217764;-0.930270;-0.422704;
0.005414;1.000140;-0.210057;1.000159;0.976165;0.217762;-0.930264;-0.422708;
0.006584;1.000133;-0.210063;1.000157;0.976164;0.217760;-0.930257;-0.422712;
0.008925;1.000117;-0.210073;1.000155;0.976162;0.217757;-0.930243;-0.422716;
0.011265;1.000103;-0.210079;1.000154;0.976162;0.217753;-0.930230;-0.422717;
0.011516;1.000101;-0.210080;1.000154;0.976162;0.217753;-0.930229;-0.422716;
0.011516;1.000101;-0.210080;1.000154;0.976162;0.217753;-0.930229;-0.422716;
0.012081;1.000098;-0.210081;1.000154;0.976162;0.217752;-0.930226;-0.422716;
0.012139;1.000098;-0.210081;1.000154;0.976162;0.217752;-0.930226;-0.422716;
0.012139;1.000098;-0.210081;1.000154;0.976162;0.217752;-0.930226;-0.422716;
0.012745;1.000094;-0.210082;1.000154;0.976162;0.217751;-0.930222;-0.422716;
0.013352;1.000091;-0.210083;1.000154;0.976162;0.217750;-0.930219;-0.422715;
