time;WECCPVVSource_photovoltaics_HvMeasurements_PPu;WECCPVVSource_photovoltaics_HvMeasurements_QPu;WECCPVVSource_photovoltaics_HvMeasurements_UPu;WECCPVVSource_photovoltaics_LvMeasurements_PPu;WECCPVVSource_photovoltaics_LvMeasurements_QPu;WECCPVVSource_photovoltaics_LvMeasurements_UPu;WECCPVVSource_photovoltaics_injector_PInjPu;WECCPVVSource_photovoltaics_injector_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
0.00000000;0.69998413;0.20000008;1.00000041;0.69998413;0.27949668;1.03533827;0.69998943;0.33249972;1.05000916;-0.69998413;0.17500248;0.19999898;0.99999264;
0.00000001;0.69998413;0.20000008;1.00000041;0.69998413;0.27949668;1.03533827;0.69998943;0.33249972;1.05000916;-0.69998413;0.17500248;0.19999898;0.99999264;
0.00000002;0.69998413;0.20000008;1.00000041;0.69998413;0.27949668;1.03533827;0.69998943;0.33249972;1.05000916;-0.69998413;0.17500248;0.19999898;0.99999264;
0.00000004;0.69998413;0.20000008;1.00000041;0.69998413;0.27949668;1.03533827;0.69998943;0.33249972;1.05000916;-0.69998413;0.17500248;0.19999898;0.99999264;
0.00000008;0.69998413;0.20000008;1.00000041;0.69998413;0.27949668;1.03533827;0.69998943;0.33249972;1.05000916;-0.69998413;0.17500248;0.19999898;0.99999264;
0.00000016;0.69998413;0.20000008;1.00000041;0.69998413;0.27949668;1.03533827;0.69998943;0.33249972;1.05000916;-0.69998413;0.17500248;0.19999898;0.99999264;
0.00000032;0.69998412;0.20000008;1.00000041;0.69998412;0.27949668;1.03533827;0.69998942;0.33249972;1.05000916;-0.69998412;0.17500248;0.19999898;0.99999264;
0.00000064;0.69998412;0.20000008;1.00000041;0.69998412;0.27949668;1.03533827;0.69998942;0.33249972;1.05000916;-0.69998412;0.17500248;0.19999898;0.99999264;
0.00000128;0.69998412;0.20000008;1.00000041;0.69998412;0.27949668;1.03533827;0.69998942;0.33249972;1.05000916;-0.69998412;0.17500248;0.19999899;0.99999264;
0.00000256;0.69998411;0.20000008;1.00000041;0.69998411;0.27949668;1.03533827;0.69998941;0.33249972;1.05000916;-0.69998411;0.17500247;0.19999899;0.99999265;
