time;WPP4A_WPP_wPPControl_measurements_PPu;WPP4A_WPP_wPPControl_measurements_QPu;WPP4A_WPP_wPPControl_measurements_UPu;WPP4A_WPP_terminal_V_re;WPP4A_WPP_terminal_V_im;WPP4A_WPP_terminal_i_re;WPP4A_WPP_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000001;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000002;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000004;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000008;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000016;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000026;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000027;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000028;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000030;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000034;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000042;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000058;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000090;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000154;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000282;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000538;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.001000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001001;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001002;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001004;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001008;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001016;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001032;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001064;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001128;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001185;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001186;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001187;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001189;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001193;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001201;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001217;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001249;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001313;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001441;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930283;-0.422693;
0.001697;1.000162;-0.210035;1.000164;0.976169;0.217767;-0.930283;-0.422693;
0.002209;1.000161;-0.210035;1.000164;0.976169;0.217767;-0.930282;-0.422693;
0.002721;1.000159;-0.210035;1.000164;0.976169;0.217766;-0.930280;-0.422692;
0.003233;1.000157;-0.210036;1.000165;0.976170;0.217766;-0.930278;-0.422691;
0.003745;1.000155;-0.210036;1.000165;0.976170;0.217765;-0.930277;-0.422690;
0.004257;1.000153;-0.210036;1.000165;0.976170;0.217765;-0.930274;-0.422689;
0.004769;1.000150;-0.210036;1.000165;0.976170;0.217764;-0.930272;-0.422688;
0.005793;1.000145;-0.210036;1.000165;0.976171;0.217763;-0.930267;-0.422686;
0.006715;1.000140;-0.210036;1.000165;0.976171;0.217761;-0.930263;-0.422684;
0.007636;1.000135;-0.210036;1.000166;0.976172;0.217760;-0.930258;-0.422681;
0.008558;1.000129;-0.210036;1.000166;0.976173;0.217759;-0.930253;-0.422678;
0.009480;1.000124;-0.210036;1.000166;0.976173;0.217757;-0.930248;-0.422676;
0.010401;1.000118;-0.210036;1.000166;0.976174;0.217756;-0.930243;-0.422673;
0.011323;1.000113;-0.210036;1.000167;0.976175;0.217754;-0.930238;-0.422670;
0.012244;1.000107;-0.210036;1.000167;0.976175;0.217753;-0.930233;-0.422667;
0.012525;1.000106;-0.210036;1.000167;0.976175;0.217752;-0.930231;-0.422666;
0.012526;1.000106;-0.210036;1.000167;0.976175;0.217752;-0.930231;-0.422666;
0.012527;1.000106;-0.210036;1.000167;0.976175;0.217752;-0.930231;-0.422666;
0.012529;1.000106;-0.210036;1.000167;0.976175;0.217752;-0.930231;-0.422666;
0.012533;1.000106;-0.210036;1.000167;0.976175;0.217752;-0.930231;-0.422666;
0.012541;1.000105;-0.210036;1.000167;0.976175;0.217752;-0.930231;-0.422666;
0.012557;1.000105;-0.210036;1.000167;0.976175;0.217752;-0.930231;-0.422666;
0.012589;1.000105;-0.210036;1.000167;0.976175;0.217752;-0.930231;-0.422666;
0.012653;1.000105;-0.210036;1.000167;0.976176;0.217752;-0.930231;-0.422666;
0.012781;1.000104;-0.210036;1.000167;0.976176;0.217752;-0.930230;-0.422665;
0.013037;1.000103;-0.210036;1.000167;0.976176;0.217752;-0.930229;-0.422665;
0.013370;1.000101;-0.210036;1.000168;0.976176;0.217751;-0.930227;-0.422664;
0.013371;1.000101;-0.210036;1.000168;0.976176;0.217751;-0.930227;-0.422664;
0.013372;1.000101;-0.210036;1.000168;0.976176;0.217751;-0.930227;-0.422664;
0.013374;1.000101;-0.210036;1.000168;0.976176;0.217751;-0.930227;-0.422664;
0.013378;1.000101;-0.210036;1.000168;0.976176;0.217751;-0.930227;-0.422664;
0.013386;1.000101;-0.210036;1.000168;0.976176;0.217751;-0.930227;-0.422664;
0.013402;1.000100;-0.210036;1.000168;0.976176;0.217751;-0.930227;-0.422664;
0.013434;1.000100;-0.210036;1.000168;0.976176;0.217751;-0.930226;-0.422663;
0.013498;1.000100;-0.210036;1.000168;0.976176;0.217751;-0.930226;-0.422663;
0.013581;1.000099;-0.210036;1.000168;0.976176;0.217751;-0.930226;-0.422663;
0.013582;1.000099;-0.210036;1.000168;0.976176;0.217751;-0.930226;-0.422663;
0.013583;1.000099;-0.210036;1.000168;0.976176;0.217751;-0.930226;-0.422663;
0.013585;1.000099;-0.210036;1.000168;0.976176;0.217751;-0.930226;-0.422663;
0.013589;1.000099;-0.210036;1.000168;0.976176;0.217751;-0.930226;-0.422663;
0.013597;1.000099;-0.210036;1.000168;0.976176;0.217751;-0.930226;-0.422663;
0.013613;1.000099;-0.210036;1.000168;0.976176;0.217751;-0.930226;-0.422663;
0.013645;1.000099;-0.210036;1.000168;0.976176;0.217751;-0.930225;-0.422663;
0.013709;1.000099;-0.210036;1.000168;0.976176;0.217751;-0.930225;-0.422663;
0.013837;1.000098;-0.210036;1.000168;0.976176;0.217750;-0.930224;-0.422662;
0.014093;1.000096;-0.210036;1.000168;0.976177;0.217750;-0.930223;-0.422661;
0.014605;1.000094;-0.210036;1.000168;0.976177;0.217749;-0.930220;-0.422660;
0.015629;1.000088;-0.210036;1.000168;0.976178;0.217748;-0.930215;-0.422657;
0.016653;1.000082;-0.210036;1.000169;0.976178;0.217746;-0.930210;-0.422654;
0.017677;1.000077;-0.210036;1.000169;0.976179;0.217745;-0.930205;-0.422651;
0.018701;1.000072;-0.210036;1.000169;0.976180;0.217744;-0.930201;-0.422649;
0.019725;1.000067;-0.210036;1.000170;0.976180;0.217742;-0.930196;-0.422646;
0.020749;1.000063;-0.210036;1.000170;0.976181;0.217741;-0.930192;-0.422644;
0.021773;1.000058;-0.210036;1.000170;0.976181;0.217740;-0.930188;-0.422642;
0.022797;1.000054;-0.210036;1.000171;0.976182;0.217739;-0.930184;-0.422640;
0.023821;1.000050;-0.210036;1.000171;0.976182;0.217738;-0.930181;-0.422638;
0.023867;1.000050;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422638;
0.023868;1.000050;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422638;
0.023869;1.000050;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422638;
0.023870;1.000050;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422638;
0.023872;1.000050;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422638;
0.023876;1.000050;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422638;
0.023884;1.000050;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422638;
0.023900;1.000050;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422637;
0.023932;1.000050;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422637;
0.023996;1.000049;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422637;
0.024124;1.000049;-0.210036;1.000171;0.976182;0.217738;-0.930180;-0.422637;
0.024380;1.000048;-0.210036;1.000171;0.976182;0.217738;-0.930179;-0.422637;
0.024892;1.000046;-0.210036;1.000171;0.976183;0.217737;-0.930177;-0.422636;
0.025916;1.000043;-0.210036;1.000171;0.976183;0.217736;-0.930174;-0.422634;
0.026940;1.000039;-0.210036;1.000171;0.976183;0.217735;-0.930171;-0.422633;
0.028988;1.000033;-0.210037;1.000171;0.976184;0.217734;-0.930165;-0.422630;
0.030831;1.000028;-0.210037;1.000172;0.976184;0.217732;-0.930161;-0.422629;
0.032675;1.000024;-0.210038;1.000172;0.976184;0.217731;-0.930157;-0.422627;
0.034518;1.000020;-0.210039;1.000171;0.976185;0.217730;-0.930153;-0.422627;
0.036361;1.000016;-0.210040;1.000171;0.976185;0.217729;-0.930150;-0.422626;
0.038204;1.000013;-0.210041;1.000171;0.976185;0.217729;-0.930147;-0.422626;
0.040047;1.000010;-0.210043;1.000171;0.976185;0.217728;-0.930144;-0.422626;
0.041891;1.000007;-0.210044;1.000170;0.976184;0.217727;-0.930142;-0.422627;
0.043734;1.000005;-0.210046;1.000170;0.976184;0.217727;-0.930140;-0.422628;
0.045577;1.000003;-0.210048;1.000170;0.976184;0.217726;-0.930138;-0.422629;
0.049263;1.000000;-0.210052;1.000169;0.976183;0.217726;-0.930135;-0.422632;
0.052950;0.999997;-0.210056;1.000167;0.976182;0.217725;-0.930133;-0.422636;
0.056636;0.999995;-0.210061;1.000166;0.976180;0.217725;-0.930131;-0.422641;
0.060323;0.999993;-0.210066;1.000165;0.976179;0.217724;-0.930129;-0.422646;
0.064009;0.999992;-0.210071;1.000163;0.976177;0.217724;-0.930128;-0.422651;
0.067695;0.999991;-0.210077;1.000161;0.976176;0.217724;-0.930127;-0.422657;
0.071382;0.999990;-0.210082;1.000160;0.976174;0.217724;-0.930127;-0.422663;
0.078755;0.999989;-0.210093;1.000156;0.976171;0.217724;-0.930126;-0.422676;
0.082203;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422682;
