time;SM_gen_cePu;SM_gen_PePu;SM_gen_cmPu;SM_gen_PmPu;SM_gen_ufPu;SM_gen_efdPu;SM_gen_omegaPu;SM_gen_theta;SM_gen_PGenPu;SM_gen_QGenPu;SM_gen_PGen;SM_gen_QGen;SM_gen_UPu;SM_gen_IStatorPu;SM_gen_IRotorPu;SM_gen_UStatorPu;SM_gen_QStatorPu;SM_gen_thetaInternal;
0;0.902956;0.902956;0.903000;0.903000;0.001059;2.420739;1.000000;1.224004;19.979030;9.679010;1997.902980;967.900962;1.000014;22.199792;2.420683;1.000014;9.679010;0.729542;
1e-06;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.902973;967.900952;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
2e-06;0.902956;0.902956;0.903000;0.903000;0.001059;2.420746;1.000000;1.224004;19.979030;9.679010;1997.902974;967.900952;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
4e-06;0.902956;0.902956;0.903000;0.903000;0.001059;2.420746;1.000000;1.224004;19.979030;9.679010;1997.902975;967.900954;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
8e-06;0.902956;0.902956;0.903000;0.903000;0.001059;2.420745;1.000000;1.224004;19.979030;9.679010;1997.902977;967.900957;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
1.6e-05;0.902956;0.902956;0.903000;0.903000;0.001059;2.420744;1.000000;1.224004;19.979030;9.679010;1997.902981;967.900963;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
3.2e-05;0.902956;0.902956;0.903000;0.903000;0.001059;2.420741;1.000000;1.224004;19.979030;9.679010;1997.902989;967.900975;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
6.4e-05;0.902956;0.902956;0.903000;0.903000;0.001059;2.420735;1.000000;1.224004;19.979030;9.679010;1997.903005;967.900999;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
0.000128;0.902956;0.902956;0.903000;0.903000;0.001059;2.420723;1.000000;1.224004;19.979030;9.679010;1997.903037;967.901047;1.000014;22.199793;2.420682;1.000014;9.679010;0.729542;
0.000256;0.902956;0.902956;0.903000;0.903000;0.001059;2.420698;1.000000;1.224004;19.979031;9.679011;1997.903101;967.901142;1.000014;22.199794;2.420682;1.000014;9.679011;0.729542;
0.000512;0.902956;0.902956;0.903000;0.903000;0.001059;2.420651;1.000000;1.224004;19.979032;9.679013;1997.903226;967.901329;1.000014;22.199795;2.420682;1.000014;9.679013;0.729542;
0.001024;0.902956;0.902956;0.903000;0.903000;0.001059;2.420558;1.000000;1.224004;19.979035;9.679017;1997.903467;967.901689;1.000014;22.199798;2.420681;1.000014;9.679017;0.729542;
0.002048;0.902957;0.902957;0.903000;0.903000;0.001059;2.420379;1.000000;1.224004;19.979039;9.679024;1997.903914;967.902355;1.000014;22.199802;2.420679;1.000014;9.679024;0.729542;
0.004096;0.902957;0.902957;0.903000;0.903000;0.001059;2.420053;1.000000;1.224004;19.979047;9.679035;1997.904678;967.903486;1.000015;22.199811;2.420675;1.000015;9.679035;0.729542;
0.008192;0.902957;0.902957;0.903000;0.903000;0.001058;2.419508;1.000000;1.224004;19.979057;9.679050;1997.905734;967.905014;1.000015;22.199822;2.420667;1.000015;9.679050;0.729542;
0.016384;0.902958;0.902958;0.903000;0.903000;0.001058;2.418740;1.000000;1.224004;19.979063;9.679057;1997.906344;967.905680;1.000015;22.199829;2.420650;1.000015;9.679057;0.729542;
0.032768;0.902956;0.902957;0.903000;0.903000;0.001058;2.418015;1.000000;1.224005;19.979039;9.679007;1997.903866;967.900716;1.000014;22.199803;2.420618;1.000014;9.679007;0.729543;
0.065536;0.902952;0.902953;0.903000;0.903000;0.001058;2.418005;1.000000;1.224008;19.978952;9.678811;1997.895181;967.881071;1.000011;22.199712;2.420574;1.000011;9.678811;0.729546;
0.131072;0.902952;0.902953;0.903000;0.903000;0.001058;2.419309;1.000001;1.224021;19.978954;9.678492;1997.895405;967.849182;1.000004;22.199730;2.420553;1.000004;9.678492;0.729556;
0.262144;0.902992;0.902993;0.902999;0.903000;0.001059;2.420813;1.000001;1.224062;19.979836;9.678738;1997.983646;967.873782;0.999999;22.200743;2.420650;0.999999;9.678738;0.729570;
0.524288;0.903019;0.903019;0.903000;0.903000;0.001059;2.420905;1.000000;1.224085;19.980424;9.679072;1998.042388;967.907170;0.999999;22.201409;2.420714;0.999999;9.679072;0.729578;
1;0.903006;0.903006;0.903000;0.903000;0.001059;2.420677;1.000000;1.224075;19.980134;9.678970;1998.013425;967.897027;1.000000;22.201078;2.420692;1.000000;9.678970;0.729576;
1;0.025330;0.025330;0.903000;0.903000;0.001059;2.420677;1.000000;1.224075;0.000000;28.088120;0.000000;2808.812021;0.435425;64.507387;3.718747;0.435425;28.088120;0.509457;
1;0.025330;0.025330;0.903000;0.903000;0.001062;2.428204;1.000000;1.224075;-0.000000;28.087705;-0.000000;2808.770524;0.435422;64.506911;3.718775;0.435422;28.087705;0.509451;
1;0.025329;0.025329;0.903000;0.903000;0.001065;2.435731;1.000000;1.224075;0.000000;28.087290;0.000000;2808.729033;0.435418;64.506434;3.718804;0.435418;28.087290;0.509445;
1;0.025328;0.025328;0.903000;0.903000;0.001072;2.450783;1.000000;1.224075;-0.000000;28.086461;-0.000000;2808.646059;0.435412;64.505481;3.718862;0.435412;28.086461;0.509433;
1.00001;0.025327;0.025327;0.903000;0.903000;0.001085;2.480883;1.000001;1.224075;-0.000000;28.084802;-0.000000;2808.480158;0.435399;64.503576;3.718977;0.435399;28.084802;0.509409;
1.00002;0.025324;0.025324;0.902999;0.903000;0.001111;2.541060;1.000002;1.224075;0.000000;28.081486;0.000000;2808.148550;0.435373;64.499768;3.719207;0.435373;28.081486;0.509361;
1.00003;0.025318;0.025318;0.902997;0.903000;0.001164;2.661326;1.000004;1.224075;0.000000;28.074861;0.000000;2807.486110;0.435322;64.492160;3.719668;0.435322;28.074861;0.509264;
1.00006;0.025306;0.025306;0.902993;0.903000;0.001269;2.901508;1.000008;1.224075;-0.000000;28.061643;-0.000000;2806.164331;0.435220;64.476976;3.720595;0.435220;28.061643;0.509071;
1.00013;0.025282;0.025282;0.902986;0.903000;0.001479;3.380468;1.000016;1.224076;0.000000;28.035332;0.000000;2803.533165;0.435016;64.446741;3.722465;0.435016;28.035332;0.508685;
1.00026;0.025235;0.025235;0.902971;0.903000;0.001895;4.332808;1.000032;1.224077;-0.000000;27.983202;-0.000000;2798.320197;0.434611;64.386796;3.726268;0.434611;27.983202;0.507910;
1.00051;0.025141;0.025143;0.902942;0.903000;0.002719;6.215391;1.000064;1.224081;0.000000;27.880901;0.000000;2788.090090;0.433816;64.268996;3.734124;0.433816;27.880901;0.506353;
1.00062;0.025103;0.025105;0.902930;0.903000;0.003062;7.000001;1.000078;1.224083;0.000000;27.838564;0.000000;2783.856397;0.433486;64.220184;3.737531;0.433486;27.838564;0.505694;
1.00062;0.025103;0.025105;0.902930;0.903000;0.003062;7.000000;1.000078;1.224083;-0.000000;27.838566;-0.000000;2783.856568;0.433486;64.220183;3.737531;0.433486;27.838566;0.505694;
1.00062;0.025103;0.025105;0.902930;0.903000;0.003062;7.000000;1.000078;1.224083;-0.000000;27.838175;-0.000000;2783.817542;0.433483;64.219733;3.737563;0.433483;27.838175;0.505688;
1.00062;0.025102;0.025104;0.902930;0.903000;0.003062;7.000000;1.000078;1.224083;-0.000000;27.837785;-0.000000;2783.778519;0.433480;64.219283;3.737594;0.433480;27.837785;0.505682;
1.00062;0.025102;0.025103;0.902930;0.903000;0.003062;7.000000;1.000078;1.224083;-0.000000;27.837005;-0.000000;2783.700477;0.433474;64.218383;3.737658;0.433474;27.837005;0.505669;
1.00063;0.025100;0.025102;0.902929;0.903000;0.003062;7.000000;1.000079;1.224083;-0.000000;27.835444;-0.000000;2783.544413;0.433462;64.216583;3.737786;0.433462;27.835444;0.505645;
1.00064;0.025097;0.025099;0.902928;0.903000;0.003062;7.000000;1.000080;1.224083;-0.000000;27.832324;-0.000000;2783.232372;0.433438;64.212983;3.738041;0.433438;27.832324;0.505596;
1.00065;0.025092;0.025094;0.902927;0.903000;0.003062;7.000000;1.000082;1.224084;0.000000;27.826086;0.000000;2782.608634;0.433389;64.205788;3.738550;0.433389;27.826086;0.505498;
1.00068;0.025080;0.025082;0.902923;0.903000;0.003062;7.000000;1.000086;1.224085;0.000000;27.813625;0.000000;2781.362532;0.433292;64.191410;3.739568;0.433292;27.813625;0.505302;
1.00075;0.025058;0.025060;0.902916;0.903000;0.003062;7.000000;1.000094;1.224086;0.000000;27.788758;0.000000;2778.875823;0.433098;64.162708;3.741601;0.433098;27.788758;0.504911;
1.00088;0.025013;0.025015;0.902901;0.903000;0.003062;7.000000;1.000110;1.224090;-0.000000;27.739243;-0.000000;2773.924296;0.432712;64.105518;3.745652;0.432712;27.739243;0.504129;
1.00113;0.024923;0.024927;0.902872;0.903000;0.003062;7.000000;1.000142;1.224101;-0.000000;27.641081;-0.000000;2764.108113;0.431946;63.991992;3.753695;0.431946;27.641081;0.502568;
1.00164;0.024748;0.024753;0.902814;0.903000;0.003062;7.000000;1.000206;1.224129;0.000000;27.448178;0.000000;2744.817751;0.430436;63.768305;3.769547;0.430436;27.448178;0.499458;
1.00267;0.024409;0.024417;0.902698;0.903000;0.003062;7.000000;1.000335;1.224216;-0.000000;27.075625;-0.000000;2707.562484;0.427505;63.334064;3.800349;0.427505;27.075625;0.493286;
1.00472;0.023776;0.023790;0.902466;0.903000;0.003062;7.000000;1.000592;1.224514;-0.000000;26.380329;-0.000000;2638.032905;0.421980;62.515573;3.858534;0.421980;26.380329;0.481141;
1.00676;0.023199;0.023218;0.902235;0.903000;0.003062;7.000000;1.000849;1.224977;-0.000000;25.746727;-0.000000;2574.672722;0.416882;61.760297;3.912400;0.416882;25.746727;0.469281;
1.00881;0.022673;0.022698;0.902003;0.903000;0.003062;7.000000;1.001106;1.225606;-0.000000;25.169249;-0.000000;2516.924934;0.412181;61.063809;3.962267;0.412181;25.169249;0.457721;
1.01086;0.022193;0.022223;0.901771;0.903000;0.003062;7.000000;1.001363;1.226400;-0.000000;24.642794;-0.000000;2464.279415;0.407847;60.421848;4.008443;0.407847;24.642794;0.446474;
1.01291;0.021755;0.021790;0.901539;0.903000;0.003062;7.000000;1.001621;1.227360;0.000000;24.162679;0.000000;2416.267859;0.403855;59.830383;4.051217;0.403855;24.162679;0.435547;
