time;NETWORK__KANA___1_TN_Upu_value;NETWORK__TURN___2_TN_Upu_value;NETWORK__LOGA___3_TN_Upu_value;NETWORK__BEAV___6_TN_Upu_value;NETWORK__CLIN___8_TN_Upu_value;NETWORK__SALT___9_TN_Upu_value;NETWORK__GLEN__12_TN_Upu_value;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____9_SM_generator_PGen;GEN___12_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____9_SM_generator_QGen;GEN___12_SM_generator_QGen;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;GEN____1_SM_generator_UStatorPu;GEN____2_SM_generator_UStatorPu;GEN____3_SM_generator_UStatorPu;GEN____6_SM_generator_UStatorPu;GEN____8_SM_generator_UStatorPu;GEN____9_SM_generator_UStatorPu;GEN___12_SM_generator_UStatorPu;NETWORK__BEAV___6-BUS____7-1_AC_P2_value;NETWORK__BUS____7-CLIN___8-1_AC_P1_value;
0;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457424;39.9252;0.086737;449.871;0.139352;310.018;128.851;-0.722134;-1.00188;0.89941;62.0098;2.29925;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779088;
7.17423e-07;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457622;39.9251;0.0867834;449.871;0.139415;310.018;128.851;-0.722116;-1.00193;0.899431;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779087;
1.71742e-06;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457699;39.9251;0.0868014;449.871;0.139439;310.018;128.851;-0.722108;-1.00194;0.89944;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779087;
2.71742e-06;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457698;39.9251;0.0868011;449.871;0.139439;310.018;128.851;-0.722108;-1.00194;0.899439;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779087;
4.71742e-06;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.045769;39.9251;0.0867993;449.871;0.139436;310.018;128.851;-0.722109;-1.00194;0.899439;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779087;
8.71742e-06;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457689;39.9251;0.0867992;449.871;0.139436;310.018;128.851;-0.722109;-1.00194;0.899438;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779087;
1.67174e-05;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457678;39.9251;0.0867966;449.871;0.139433;310.018;128.851;-0.72211;-1.00194;0.899437;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779087;
3.27174e-05;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457656;39.9251;0.0867915;449.871;0.139426;310.018;128.851;-0.722112;-1.00193;0.899435;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779087;
5.76876e-05;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457622;39.9251;0.0867834;449.871;0.139415;310.018;128.851;-0.722116;-1.00193;0.899431;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779087;
5.86876e-05;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457621;39.9251;0.0867831;449.871;0.139414;310.018;128.851;-0.722116;-1.00193;0.899431;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779087;
