time;NETWORK__KANA___1_TN_Upu_value;NETWORK__TURN___2_TN_Upu_value;NETWORK__LOGA___3_TN_Upu_value;NETWORK__BEAV___6_TN_Upu_value;NETWORK__CLIN___8_TN_Upu_value;NETWORK__SALT___9_TN_Upu_value;NETWORK__GLEN__12_TN_Upu_value;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____9_SM_generator_PGen;GEN___12_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____9_SM_generator_QGen;GEN___12_SM_generator_QGen;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;GEN____1_SM_generator_UStatorPu;GEN____2_SM_generator_UStatorPu;GEN____3_SM_generator_UStatorPu;GEN____6_SM_generator_UStatorPu;GEN____8_SM_generator_UStatorPu;GEN____9_SM_generator_UStatorPu;GEN___12_SM_generator_UStatorPu;NETWORK__BEAV___6-BUS____7-1_AC_P2_value;NETWORK__BUS____7-CLIN___8-1_AC_P1_value;
0.000000;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688854;-0.045193;39.914447;0.088663;449.870884;0.140597;310.018864;128.862361;-0.706389;-1.056139;0.910145;62.013443;2.304205;128.751412;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000001;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688854;-0.045193;39.914446;0.088664;449.870883;0.140597;310.018864;128.862361;-0.706389;-1.056139;0.910145;62.013442;2.304205;128.751413;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000002;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688854;-0.045193;39.914446;0.088664;449.870884;0.140597;310.018864;128.862361;-0.706389;-1.056139;0.910145;62.013442;2.304205;128.751413;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000004;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688853;-0.045193;39.914447;0.088664;449.870884;0.140596;310.018865;128.862361;-0.706389;-1.056139;0.910145;62.013442;2.304205;128.751413;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000008;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688853;-0.045192;39.914448;0.088662;449.870887;0.140595;310.018864;128.862361;-0.706390;-1.056137;0.910145;62.013443;2.304205;128.751411;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000016;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688852;-0.045191;39.914450;0.088660;449.870891;0.140591;310.018864;128.862361;-0.706391;-1.056134;0.910144;62.013445;2.304205;128.751409;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000032;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688849;-0.045189;39.914454;0.088655;449.870898;0.140585;310.018863;128.862361;-0.706393;-1.056129;0.910142;62.013449;2.304205;128.751405;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000058;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688846;-0.045186;39.914461;0.088647;449.870911;0.140574;310.018861;128.862361;-0.706397;-1.056120;0.910139;62.013455;2.304205;128.751399;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000058;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688846;-0.045186;39.914461;0.088647;449.870911;0.140574;310.018861;128.862361;-0.706397;-1.056120;0.910139;62.013455;2.304205;128.751399;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000059;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688845;-0.045186;39.914461;0.088647;449.870911;0.140574;310.018861;128.862361;-0.706397;-1.056120;0.910139;62.013455;2.304205;128.751398;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000060;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688845;-0.045186;39.914461;0.088646;449.870912;0.140573;310.018861;128.862361;-0.706397;-1.056120;0.910139;62.013456;2.304205;128.751398;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000062;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688845;-0.045185;39.914462;0.088646;449.870913;0.140572;310.018861;128.862361;-0.706397;-1.056119;0.910139;62.013456;2.304205;128.751398;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000066;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688844;-0.045185;39.914463;0.088644;449.870915;0.140571;310.018861;128.862361;-0.706398;-1.056118;0.910138;62.013457;2.304205;128.751397;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
0.000074;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015038;478.688843;-0.045184;39.914465;0.088642;449.870919;0.140568;310.018861;128.862361;-0.706399;-1.056115;0.910138;62.013459;2.304205;128.751395;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047588;1.009946;0.984851;0.980068;1.010732;0.980138;1.022612;0.178229;-0.779090;
