time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678809;0.892857;
0.008287;2.678817;4.309139;1.000000;3.999999;2.000028;0.781862;1.037829;2.678811;0.892857;
0.016573;2.678817;4.309139;1.000000;3.999999;2.000026;0.781862;1.037828;2.678813;0.892857;
0.033146;2.678818;4.309139;1.000000;4.000000;2.000024;0.781862;1.037828;2.678818;0.892857;
0.066292;2.678818;4.309139;1.000000;4.000002;2.000022;0.781862;1.037828;2.678825;0.892857;
0.132585;2.678820;4.309141;1.000000;4.000004;2.000022;0.781862;1.037828;2.678837;0.892857;
0.265170;2.678823;4.309143;1.000000;4.000004;2.000027;0.781861;1.037829;2.678851;0.892857;
0.397755;2.678825;4.309144;1.000000;4.000003;2.000034;0.781860;1.037829;2.678857;0.892857;
0.662925;2.678827;4.309145;1.000000;4.000000;2.000043;0.781859;1.037829;2.678853;0.892857;
1.000000;2.678829;4.309147;1.000000;3.999999;2.000050;0.781858;1.037829;2.678848;0.892857;
1.000000;5.833695;22.210398;1.000000;-0.000000;3.329787;0.781858;0.149920;0.555917;0.892857;
1.000000;5.833696;22.210395;1.000000;0.000000;3.329786;0.781858;0.149920;0.555916;0.892857;
1.000000;5.833696;22.210392;1.000000;-0.000000;3.329785;0.781858;0.149920;0.555915;0.892857;
1.000000;5.833697;22.210387;1.000000;-0.000000;3.329784;0.781858;0.149920;0.555914;0.892857;
1.000000;5.833699;22.210375;1.000000;0.000000;3.329780;0.781858;0.149920;0.555911;0.892857;
1.000000;5.833703;22.210352;1.000000;-0.000000;3.329773;0.781858;0.149920;0.555906;0.892857;
1.000000;5.833711;22.210307;1.000000;0.000000;3.329760;0.781858;0.149920;0.555896;0.892857;
1.000000;5.833716;22.210277;1.000000;0.000000;3.329751;0.781858;0.149919;0.555889;0.892857;
1.000000;5.833716;22.210277;1.000000;0.000000;3.329751;0.781858;0.149919;0.555889;0.892857;
1.000000;5.833717;22.210274;1.000000;-0.000000;3.329750;0.781858;0.149919;0.555888;0.892857;
1.000000;5.833717;22.210271;1.000000;-0.000000;3.329749;0.781858;0.149919;0.555888;0.892857;
1.000000;5.833718;22.210265;1.000000;-0.000000;3.329747;0.781858;0.149919;0.555886;0.892857;
1.000000;5.833720;22.210254;1.000000;0.000000;3.329744;0.781858;0.149919;0.555884;0.892857;
1.000001;5.833724;22.210230;1.000000;0.000000;3.329737;0.781858;0.149919;0.555878;0.892857;
1.000001;5.833732;22.210183;1.000000;-0.000000;3.329723;0.781858;0.149919;0.555868;0.892857;
1.000001;5.833749;22.210089;1.000000;-0.000000;3.329694;0.781858;0.149918;0.555846;0.892857;
1.000002;5.833781;22.209901;1.000000;0.000000;3.329638;0.781858;0.149917;0.555803;0.892857;
1.000003;5.833814;22.209713;1.000000;0.000000;3.329581;0.781858;0.149916;0.555761;0.892857;
1.000004;5.833847;22.209524;1.000000;0.000000;3.329525;0.781858;0.149914;0.555718;0.892857;
1.000005;5.833879;22.209336;1.000000;0.000000;3.329469;0.781858;0.149913;0.555675;0.892857;
1.000006;5.833912;22.209148;1.000000;-0.000000;3.329412;0.781858;0.149912;0.555632;0.892857;
1.000007;5.833945;22.208960;1.000000;0.000000;3.329356;0.781858;0.149910;0.555589;0.892857;
1.000008;5.833977;22.208771;1.000001;-0.000000;3.329299;0.781858;0.149909;0.555547;0.892857;
1.000008;5.834010;22.208583;1.000001;-0.000000;3.329243;0.781858;0.149908;0.555504;0.892857;
1.000010;5.834075;22.208207;1.000001;0.000000;3.329130;0.781858;0.149905;0.555418;0.892857;
1.000012;5.834134;22.207868;1.000001;0.000000;3.329029;0.781858;0.149903;0.555341;0.892857;
1.000013;5.834193;22.207530;1.000001;0.000000;3.328927;0.781858;0.149901;0.555264;0.892857;
